"cnpj","nome_coop","naturezaJuridica","classe","situacao","regimeEspecial","logradouro","complemento","bairro","municipio","uf","cep","endereco_eletronico","email","telefone_ddd","telefone_numero","segmento_prudencial","ato_presi","nome_Liquidante","filiacao","filiacao_central"
1439107,"BARRACRED - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"RUA ANTONIO FRANCO POMPEU, 261","","VILA OPERÁRIA","BARRA BONITA","SP","17340000","","barracred@barracred.com.br",NA,NA,"S5",NA,NA,NA,NA
5036532,"CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB - SICOOB CENTRAL UNICOOB","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"AV  DUQUE DE CAXIAS  N  882  SOBRELOJA 2","EDIFICIO NEW TOWER PLAZA","NOVO CENTRO","MARINGA","PR","87020025","www.sicoobunicoob.com.br","diretoria@sicoobpr.com.br",NA,NA,"S4",NA,NA,NA,NA
62931522,"CENTRAL DAS COOPERATIVAS DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB CENTRAL CECRESP","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"PRACA ALFREDO ISSA  48","18 ANDAR   CJS  181 182","SANTA EFIGENIA","SAO PAULO","SP","01033040","www.sicoobcentralcecresp.coop.br","administracao@cecresp.org.br",NA,NA,"S4",NA,NA,NA,NA
70116611,"CENTRAL DAS COOPERATIVAS DE CRÉDITO DO NORDESTE - SICOOB CENTRAL NE","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"RUA EMPRESARIO CLOVIS ROLIM  N 2051","ED  DCT   DUO CORPORATE TOWERS  16  ANDAR  TORRE B","DOS IPES","JOAO PESSOA","PB","58028873","www.sicoobne.com.br","central@sicoobne.com.br",NA,NA,"S4",NA,NA,NA,NA
106180,"CENTRAL DAS COOPERATIVAS DE CRÉDITO DOS ESTADOS DE MATO GROSSO, MATO GROSSO DO SUL E DO MUNICÍPIO DE CACOAL/RO - SICOOB CENTRAL RONDON","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"RUA I  185","PARQUE ELDORADO","JARDIM ALVORADA","CUIABA","MT","78048487","","central@sicoobmtms.coop.br",NA,NA,"S4",NA,NA,NA,NA
309024,"CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"AV  DO CONTORNO  N 4924   3   5  E 6  ANDARES","","FUNCIONARIOS","BELO HORIZONTE","MG","30110032","www.cecremge.org.br","cecremge@cecremge.org.br",NA,NA,"S4",NA,NA,NA,NA
4243780,"CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"AVENIDA REPUBLICA DO LIBANO","N  936   1  ANDAR","SETOR AEROPORTO","GOIANIA","GO","74070040","https://www.sicoob.com.br/web/centralsicoobuni/sistema-sicoo","unicredbc@unicredsys.com.br",NA,NA,"S4",NA,NA,NA,NA
3795072,"CONFEDERACAO DAS COOPERATIVAS DO SICREDI - CONFEDERACAO SICREDI","Sociedade Cooperativa",NA,"",FALSE,"AV. ASSIS BRASIL, 3940","6. ANDAR","JARDIM LINDOIA","PORTO ALEGRE","RS","91010003","www.sicredi.com.br","confederacao_unicad@sicredi.com.br",NA,NA,NA,NA,NA,NA,NA
4891850,"CONFEDERACAO NACIONAL DAS COOPERATIVAS DO SICOOB LTDA","Sociedade Cooperativa",NA,"",FALSE,"SIG QUADRA 06 LOTE 2080 TORRE II","CENTRO CORPORATIVO SICOOB","SIG","BRASILIA","DF","70610460","www.sicoob.com.br","sicoob-brasil@sicoob-brasil.com.br",NA,NA,NA,NA,NA,NA,NA
10398952,"CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E SOLIDÁRIA - CRESOL CONFEDERAÇÃO","Sociedade Cooperativa","Confederação","Autorizada em Atividade",FALSE,"RODOVIA JOSE CARLOS DAUX  N  500","2  ANDAR   CONDOMINIO TECHNO TOWERS  TORRE 1","JOAO PAULO","FLORIANOPOLIS","SC","88030000","www.cresolconfederacao.com.br","",NA,NA,"S4",NA,NA,NA,NA
