"cnpj","nome","endereco","complemento","bairro","cep","municipio","uf","pais","ddd","numero","cod_compe_s_dv","x"
"1439107","SICOOB PA - DIGITAL","AV. ANT‘NIO ALBINO, 1671","SALA 2","VILA GARAVELLO","14845-038","GUARIBA","SP","Brasil","-","-","-",NA
"1439107","SICOOB PA - DUMONT","RUA ALFREDO CONDEIXA, 129","-","CENTRO","14120-000","DUMONT","SP","Brasil","16","39449410","-",NA
"1439107","SICOOB PA - GUARIBA","RUA 9 DE JULHO, 977","-","CENTRO","14840-021","GUARIBA","SP","Brasil","16","32519700","-",NA
"1439107","SICOOB PA - I9","AVENIDA PRESIDENTE CASTELO BRANCO, 2525","SALA 300 ANEXO A","PQ INDUSTRI LAGOINHA","14095-000","RIBEIRAO PRETO","SP","Brasil","16","32519700","-",NA
"1439107","SICOOB PA - JABOTICABAL","PRA«A DOM JOS… MARCONDES HOMEM DE MELLO, 155","-","CENTRO","14870-515","JABOTICABAL","SP","Brasil","16","32099600","-",NA
"1439107","SICOOB PA - LEN«OIS PAULISTA","RUA IGN·CIO ANSELMO, 444","-","CENTRO","18682-040","LENCOIS PAULISTA","SP","Brasil","14","32691400","-",NA
"1439107","SICOOB PA - MAT√O","RUA S√O LOUREN«O, 1079","-","VILA MARIANI","15990-200","MATAO","SP","Brasil","16","33837979","-",NA
"1439107","SICOOB PA - NOROESTE PTA DIG","PRA«A DOM JOS… MARCONDES HOMEM DE MELO, 155","SALA 2","CENTRO","14870-515","JABOTICABAL","SP","Brasil","-","-","-",NA
"1439107","SICOOB PA - PRAD”POLIS","RUA S√O MARTINHO, 653","-","CENTRO","14850-000","PRADOPOLIS","SP","Brasil","16","39819110","-",NA
"1439107","SICOOB PA - TAQUARITINGA","RUA DOUTOR PRUDENTE DE MORAIS, 281","-","CENTRO","15900-053","TAQUARITINGA","SP","Brasil","16","32538053","-",NA
"5036532","SICOOB PA - DIGITAL","AV. ANT‘NIO ALBINO, 1671","SALA 2","VILA GARAVELLO","14845-038","GUARIBA","SP","Brasil","-","-","-",NA
"5036532","SICOOB PA - DUMONT","RUA ALFREDO CONDEIXA, 129","-","CENTRO","14120-000","DUMONT","SP","Brasil","16","39449410","-",NA
"5036532","SICOOB PA - GUARIBA","RUA 9 DE JULHO, 977","-","CENTRO","14840-021","GUARIBA","SP","Brasil","16","32519700","-",NA
"5036532","SICOOB PA - I9","AVENIDA PRESIDENTE CASTELO BRANCO, 2525","SALA 300 ANEXO A","PQ INDUSTRI LAGOINHA","14095-000","RIBEIRAO PRETO","SP","Brasil","16","32519700","-",NA
"5036532","SICOOB PA - JABOTICABAL","PRA«A DOM JOS… MARCONDES HOMEM DE MELLO, 155","-","CENTRO","14870-515","JABOTICABAL","SP","Brasil","16","32099600","-",NA
