"cnpj","nome_coop","auditorIndependente"
106180,"CENTRAL DAS COOPERATIVAS DE CRÉDITO DOS ESTADOS DE MATO GROSSO, MATO GROSSO DO SUL E DO MUNICÍPIO DE CACOAL/RO - SICOOB CENTRAL RONDON","CONFEDERACAO NACIONAL DE AUDITORIA COOPERATIVA - CNAC"
309024,"CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE","AUDSERVICE AUDITORES ASSOCIADOS SOCIEDADE SIMPLES LTDA"
10398952,"CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E SOLIDÁRIA - CRESOL CONFEDERAÇÃO","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
315557,"CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASIL.","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA"
44469161,"COOPECREDI GUARIBA - COOPERATIVA DE CREDITO","MOORE PRISMA AUDITORES INDEPENDENTES"
88325113,"COOPERATIVA    DE    ECONOMIA    E    CRÉDITO   MÚTUO  MINUANO","LINEAR AUDITORES INDEPENDENTES SOCIEDADE SIMPLES"
5463212,"COOPERATIVA CENTRAL DE CRÉDITO - AILOS","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA"
1401771,"COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
10013534,"COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL NORDESTE","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
34148882,"COOPERATIVA CENTRAL DE CRÉDITO DA BAHIA LTDA - SICOOB CENTRAL BA","BAUER AUDITORES ASSOCIADOS"
25683434,"COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
63917579,"COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA"
3502131,"COOPERATIVA CENTRAL DE CRÉDITO DO NORTE DO BRASIL - SICOOB NORTE","AUDICONSULT AUDITORES SS"
7202627,"COOPERATIVA CENTRAL DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL CENTRAL BRASIL","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
21198087,"COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL SICOPER","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
86774775,"COOPERATIVA CENTRAL DE CRÉDITO UNICRED CENTRAL COALIZÃO LTDA - UNICRED CENTRAL COALIZÃO","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA"
543968,"COOPERATIVA CENTRAL DE CRÉDITO UNICRED CONEXÃO LTDA - UNICRED CENTRAL CONEXÃO","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA"
