"cnpj","nome","endereco","complemento","bairro","cep","municipio","uf","pais","ddd","numero","cod_compe_s_dv","x12"
"1439107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5036532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62931522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70116611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106180","SICOOB - PA DOM AQUINO","AVENIDA CUIABÁ, 78","-","CENTRO","78830-000","DOM AQUINO","MT","Brasil","-","-","-",NA
"106180","SICOOB PA - NOVA ALVORADA","RUA FRANCISCA STRADIOTT, 1252","QUADRA 20 LOTE 12","JARDIM ELDORADO","79140-000","NOVA ALVORADA DO SUL","MS","Brasil","-","-","-",NA
"309024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4243780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3795072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4891850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10398952",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88325113","PAC CANOAS","AVENIDA GUILHERME SCHELL, 10.260","DENTRO DA AGCO DO BRASIL","SÃO LUIZ","92420-000","CANOAS","RS","Brasil","51","34628188","-",NA
"88325113","PAC MARAU","RODOVIA ERS 324, KM 80","DENTRO DA GSI BRASIL","-","99150-000","MARAU","RS","Brasil","51","33427395","-",NA
"88325113","POSTO DE ATENDIMENTO DE IBIRUBÁ","RODOVIA RS 223 - KM 51","DENTRO DA AGCO DO BRASIL","-","98200-000","IBIRUBA","RS","Brasil","54","33248247","-",NA
"88325113","POSTO DE ATENDIMENTO DE MOGI DAS CRUZES","RUA CAPITÃO FRANCISCO ALMEIDA, 695","DENTRO DA AGCO DO BRASIL","BRÁS CUBAS","08740-300","MOGI DAS CRUZES","SP","Brasil","11","47954255","-",NA
"88325113","POSTO DE ATENDIMENTO DE SANTA ROSA","RODOVIA RS 344, KM 1","DENTRO DA AGCO DO BRASIL","-","98900-000","SANTA ROSA","RS","Brasil","55","35115623","-",NA
"1864151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32428294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5463212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1401771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34148882",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33416108","SICOOB PA NOVA CENTRAL FILIAL","Q SIG QUADRA 6, 2080","ANDAR 2 SALA 203","ZONA INDUSTRIAL","70610-460","BRASILIA","DF","Brasil","-","-","-",NA
"25683434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80160260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63917579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3502131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7202627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21198087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315557","CENTRAL DE RELACIONAMENTO","RUA INOCENCIO TOBIAS, 125","-","PQ IND TOMAS EDSON","01144-900","SAO PAULO","SP","Brasil","-","-","-",NA
"315557","FILIAL PORTO ALEGRE","AV. CRISTOVÃO COLOMBO, 2240","CJS. 602, 804, 803, 802 E 801","FLORESTA","90560-002","PORTO ALEGRE","RS","Brasil","-","-","-",NA
"33737818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33667205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70119680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87437687",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80230774",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14568725","01 - PA RUA DO CARMO","RUA DO CARMO, 61","-","CENTRO","20011-020","RIO DE JANEIRO","RJ","Brasil","21","22637122","-",NA
"14568725","SICOOB PA - ICARAÍ","RUA GAVIãO PEIXOTO, 171","LOJA 104-A","ICARAí","24030-091","NITEROI","RJ","Brasil","-","-","-",NA
"51010858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4120633","SICOOB PA - AMÉRICAS","AVENIDA DAS AMÉRICAS, 3500","BLOCO 5 / LOJA A","BARRA DA TIJUCA","22640-102","RIO DE JANEIRO","RJ","Brasil","21","21571600","-",NA
"4120633","SICOOB PA - CAMPO GRANDE","AV. MARIA TERESA, 260","BLOCO 3 - LOJA M","CAMPO GRANDE","23050-160","RIO DE JANEIRO","RJ","Brasil","21","21571640","-",NA
"4120633","SICOOB PA - CAXIAS","AV. PERIMETRAL PROF. JOSÉ DE SOUZA HERDY, 1216","A - BOX 242 - QUADRA 49 - LOTE 1 A 5","JARDIM 25 DE AGOSTO","25075-142","DUQUE DE CAXIAS","RJ","Brasil","-","-","-",NA
"4120633","SICOOB PA - CENTRO","RUA DO CARMO, 61","-","CENTRO","20011-020","RIO DE JANEIRO","RJ","Brasil","21","22637122","-",NA
"4120633","SICOOB PA - ICARAÍ","RUA GAVIÃO PEIXOTO, 171","LOJA 104-A","ICARAÍ","24230-091","NITEROI","RJ","Brasil","21","21571600","-",NA
"4120633","SICOOB PA - NOVA IGUAÇU","AV. DOUTOR MARIO GUMARãES, 428","SALA 1.027","CENTRO","26255-230","NOVA IGUACU","RJ","Brasil","21","21571630","-",NA
"4120633","SICOOB PA - SÃO PAULO","RUA PROFESSOR ATÍLIO INNOCENTI, 165","2º ANDAR SALA 116","VILA NOVA CONCEIÇÃO","04538-000","SAO PAULO","SP","Brasil","11","42807661","-",NA
"49389307","SICOOB PA   VALINHOS","AV DOS ESPORTES, 28","-","CENTRO","13270-210","VALINHOS","SP","Brasil","19","31156441","-",NA
"49389307","SICOOB PA - BOITUVA","RUA CORONEL EUGENIO MOTTA, 175","-","CENTRO","18550-000","BOITUVA","SP","Brasil","15","33639555","-",NA
"49389307","SICOOB PA - CABREUVA","RUA ADEMAR CLEMENTE NUNES, 274","-","JACARÉ","13318-136","CABREUVA","SP","Brasil","11","45294466","-",NA
"49389307","SICOOB PA - CANACAP","CH CORIOLANO","CXPST 121","CORIOLANO","13360-970","CAPIVARI","SP","Brasil","-","-","-",NA
"49389307","SICOOB PA - CAPIVARI","RUA BENTO DIAS, 608","-","CENTRO","13360-089","CAPIVARI","SP","Brasil","-","-","-",NA
"49389307","SICOOB PA - CERQUILHO","RUA BENTO SOUTO, 31","-","CENTRO","18520-117","CERQUILHO","SP","Brasil","15","33851333","-",NA
"49389307","SICOOB PA - CESÁRIO LANGE","RUA DO COMERCIO, 857","-","CENTRO","18285-057","CESARIO LANGE","SP","Brasil","15","32463282","-",NA
"49389307","SICOOB PA - ELIAS FAUSTO","RUA 15 DE NOVEMBRO, 261","-","CENTRO","13350-007","ELIAS FAUSTO","SP","Brasil","-","-","-",NA
"49389307","SICOOB PA - INDAIATUBA","PRAÇA PRUDENTE DE MORAES, 160","SALÃO 01","CENTRO","13330-010","INDAIATUBA","SP","Brasil","19","38754991","-",NA
"49389307","SICOOB PA - ITUPEVA","AV BRASIL, 295","SALA 04 E 05","CENTRO","13295-152","ITUPEVA","SP","Brasil","-","-","-",NA
"49389307","SICOOB PA - JUMIRIM","PC NOSSA SENHORA APARECIDA, 193","-","CENTRO","18535-000","JUMIRIM","SP","Brasil","15","32861400","-",NA
"49389307","SICOOB PA - LOUVEIRA","RUA JOSÉ NIERO, 196","-","CENTRO","13290-001","LOUVEIRA","SP","Brasil","19","39485400","-",NA
"49389307","SICOOB PA - MOMBUCA","RUA XV DE NOVEMBRO, 296","-","CENTRO","13375-023","MOMBUCA","SP","Brasil","-","-","-",NA
"49389307","SICOOB PA - MONTE MOR","AVENIDA JANIO QUADROS, 445","-","CENTRO","13190-101","MONTE MOR","SP","Brasil","19","38794016","-",NA
"49389307","SICOOB PA - PEREIRAS","RUA DOUTOR LUIZ VERGUEIRO, 551","-","CENTRO","18580-000","PEREIRAS","SP","Brasil","-","-","-",NA
"49389307","SICOOB PA - PORANGABA","AVENIDA CRISTINO MANOEL DE MIRANDA, 858","-","VILA SÃO LUIZ","18262-008","PORANGABA","SP","Brasil","-","-","-",NA
"49389307","SICOOB PA - PORTO FELIZ","PRAÇA DR. JOSÉ SACRAMENTO E SILVA, 78","-","CENTRO","18540-055","PORTO FELIZ","SP","Brasil","15","32619555","-",NA
"49389307","SICOOB PA - RAFARD","RUA MAURICIO ALLAIN, 119","-","CENTRO","13370-000","RAFARD","SP","Brasil","-","-","-",NA
"49389307","SICOOB PA - SALTO","RUA 9 DE JULHO, 45","-","CENTRO","13320-005","SALTO","SP","Brasil","11","40213086","-",NA
"49389307","SICOOB PA - TIETE","PRAÇA DOUTOR ELIAS GARCIA, 239","-","CENTRO","18530-000","TIETE","SP","Brasil","15","32823277","-",NA
"49389307","SICOOB PA - VINHEDO","RUA SANTOS DUMONT, 148","-","CENTRO","13280-000","VINHEDO","SP","Brasil","-","-","-",NA
"429890","PAE - CAMPOS ALTOS","RUA TIRADENTES, 440","N- 440","CENTRO","38970-000","CAMPOS ALTOS","MG","Brasil","-","-","-",NA
"429890","PAE - CAMPOS ALTOS II","RUA TIRADENTES, 440","N- 440","CENTRO","38970-000","CAMPOS ALTOS","MG","Brasil","-","-","-",NA
"429890","PAE - SANTA ROSA DA SERRA","RUA ADOLFO PORTELA, 148","Nº 148","CENTRO","38805-000","SANTA ROSA DA SERRA","MG","Brasil","-","-","-",NA
"429890","SICOOB PA - FRANCA","AV. ANTONIO BARBOSA FILHO, 1584","-","HIGIENOPOLIS","14400-005","FRANCA","SP","Brasil","-","-","-",NA
"429890","SICOOB PA - SANTA ROSA DA SERRA","RUA ADOLFO PORTELA, 148","Nº 148","CENTRO","38880-000","SANTA ROSA DA SERRA","MG","Brasil","34","36541122","-",NA
"429890","SICOOB PA BH","AV. PROFESSOR MARIO WERNECK, 1480","LOJA 204","BURITIS","30455-610","BELO HORIZONTE","MG","Brasil","-","-","-",NA
"429890","SICOOB PA UBERLANDIA","RUA RIO DE JANEIRO, 353","SALA 705 PAV 7","BRASIL","38400-658","UBERLANDIA","MG","Brasil","37","34269500","-",NA
"966246","SICOOB PA - ANGATUBA","RUA MAJOR PEREIRA DE MORAES, 705","-","CENTRO","18240-043","ANGATUBA","SP","Brasil","15","32551267","-",NA
"966246","SICOOB PA - APIAI","RUA TENENTE CORONEL MEIRA, 54","-","CENTRO","18320-000","APIAI","SP","Brasil","-","-","-",NA
"966246","SICOOB PA - AVARÉ","PRAÇA PADRE TAVARES, 0","-","CENTRO","18700-190","AVARE","SP","Brasil","14","37327551","-",NA
"966246","SICOOB PA - BRAGANÇA PAULISTA","RUA DR. CANDIDO RODRIGUES, 134","-","CENTRO","12900-360","BRAGANCA PAULISTA","SP","Brasil","-","-","-",NA
"966246","SICOOB PA - CAMPINAS","RODOVIA DOM PEDRO I, KM 140 SP-065, 0","SALA 11 / PAVILHÃO CEASA","JARDIM SANTA MONICA","13082-902","CAMPINAS","SP","Brasil","-","-","-",NA
"966246","SICOOB PA - CAPÃO BONITO","RUA CAMPOS SALLES, 212","-","CENTRO","18300-090","CAPAO BONITO","SP","Brasil","15","35431791","-",NA
"966246","SICOOB PA - CAPELA DO ALTO","RUA PREFEITO JOSÉ GUILHERME, 17","-","CENTRO","18195-000","CAPELA DO ALTO","SP","Brasil","15","34675113","-",NA
"966246","SICOOB PA - CERQUEIRA CESAR","RUA OLIMPIO PAVAN, 265","-","CENTRO","18760-000","CERQUEIRA CESAR","SP","Brasil","14","37142544","-",NA
"966246","SICOOB PA - DIGITAL","RUA SALVADOR DE FREITAS, 1243","-","CENTRO","18730-027","ITAI","SP","Brasil","14","37619393","-",NA
